id,title,link
1,"뉴욕증시,AI주식 고평가 논란에 투자심리 냉랭…다우 1%↓(종합)",https://n.news.naver.com/mnews/article/001/0015750258?sid=101
2,"한·UAE, ‘100년 동행’ 공동선언…AI·방산 협력 명시",https://n.news.naver.com/mnews/article/056/0012069111?sid=100
3,"韓-UAE, MOU 7건 체결…AI·원자력 기술 협력 포함",https://n.news.naver.com/mnews/article/020/0003675388?sid=100
4,"'AI왕좌' 굳히는 구글, 제미나이3 전격 공개",https://n.news.naver.com/mnews/article/011/0004557456?sid=105
5,"""AI는 완성품 위에 얹는 '체리' 아냐""…에이전트 일상화 가속하는 MS",https://n.news.naver.com/mnews/article/003/0013608380?sid=105
6,"""AI스타트업 경쟁력 확보 지원""…코스포-KOSA '맞손'",https://n.news.naver.com/mnews/article/003/0013608921?sid=101
7,"초기 투자만 30조원 …韓, UAE 'AI스타게이트' 참여한다",https://n.news.naver.com/mnews/article/025/0003483584?sid=105
8,UAE 순방나선 李대통령…AI·방산 등 150조 효과[영상],https://n.news.naver.com/mnews/article/079/0004087381?sid=100
9,"韓, 30조원 규모 'UAE 스타게이트' 참여…AI·우주협력 등 7건 MOU 체결",https://n.news.naver.com/mnews/article/448/0000571520?sid=100
10,"학부모 66% ""인공지능 활용 교육, 자녀 미래 도움될 것""",https://n.news.naver.com/mnews/article/003/0013608592?sid=101
11,"학부모 66% ""인공지능활용 교육, 자녀 미래 도움될 것""",https://n.news.naver.com/mnews/article/003/0013608592?sid=101
12,"韓-UAE, 원전·인공지능·우주 분야 협력 MOU 7건 체결",https://n.news.naver.com/mnews/article/023/0003941763?sid=100
13,한국-UAE 정상회담…인공지능·원전 등 MOU 7건 체결,https://n.news.naver.com/mnews/article/028/0002777125?sid=100
14,"수자원공사,인공지능전환 미래전략 학술회의 개최",https://n.news.naver.com/mnews/article/052/0002274833?sid=102
15,"사고 위험 도로,인공지능으로 실시간 파악·대처",https://n.news.naver.com/mnews/article/056/0012069158?sid=105
16,"김민석 총리 ""인공지능시대 하루 늦으면 한 세대 뒤쳐진다"" [2025 중앙포...",https://n.news.naver.com/mnews/article/025/0003483727?sid=100
17,인공지능스피커의 SOS…골절 당한 80대 구했다,https://n.news.naver.com/mnews/article/003/0013607102?sid=102
18,"""인공지능부터 재난까지""…충북도, 변화에 대응한 조직개편",https://n.news.naver.com/mnews/article/022/0004083512?sid=102
19,"""3박4일 동해 여행 일정 짜줘""…구글, AI 모드에 '여행 계획' 추가",https://n.news.naver.com/mnews/article/003/0013606357?sid=105
20,"허깅페이스 대표 ""LLM버블, 내년 터질 수도""",https://n.news.naver.com/mnews/article/092/0002398989?sid=105
